84365,h,chorus 3,,,
84599,h,chorus 2,,,
84753,h,chorus 3,,,
84875,h,chorus 1,,,
85125,h,chorus 8,,,
85411,h,chorus same,,,
85546,h,chorus same,,,
85703,h,chorus 7,,,
85837,h,chorus 6,,,
85992,h,chorus 5,,,
86233,h,chorus same,,,
86387,h,chorus same,,,
86543,h,chorus 4,,,
86685,h,chorus 3,,,
86861,h,chorus 4,,,
87097,h,chorus same,,,
87251,h,chorus same,,,
87398,h,chorus 5,,,
87541,h,chorus 4,,,
87705,h,chorus 3,,,
87926,h,chorus 2,,,
88090,h,chorus 3,,,
88233,h,chorus 1,,,
88490,*end,chorus off,,,
88536,a,scaleup reset,scaleup,,
88676,a,scaleup,,,
88830,a,scaleup,,,
88962,a,scaleup,,,
89100,a,scaleup,,,
89243,a,scaleup,,,
89397,a,scaleup,,,
89530,a,scaleup,,,
89678,a,scaleup,,,
89834,a,scaleup,,,
89997,a,scaleup,,,
90214,s,scaleup reset,scaleup,,
90335,s,scaleup,,,
90477,s,scaleup,,,
90607,s,scaleup,,,
90761,s,scaleup,,,
90899,s,scaleup,,,
91041,s,scaleup,,,
91188,s,scaleup,,,
91342,s,scaleup,,,
91481,s,scaleup,,,
91614,s,scaleup,,,
91830,d,scaleup reset,scaleup,,
91957,d,scaleup,,,
92096,d,scaleup,,,
92250,d,scaleup,,,
92406,d,scaleup,,,
92548,d,scaleup,,,
92695,d,scaleup,,,
92849,d,scaleup,,,
93003,d,scaleup,,,
93185,d,scaleup,,,
93348,d,scaleup,,,
93653,f,scaleup reset,scaleup,,
93785,f,scaleup,,,
93920,f,scaleup,,,
94064,f,scaleup,,,
94207,f,scaleup,,,
94350,f,scaleup,,,
94518,f,scaleup,,,
94661,f,scaleup,,,
94925,f,scaleup,,,
95200,*end,scaleup off,,,
95221,g,introcob reset,introcob,,
95467,f,introcob,,,
95611,g,introcob,,,
95769,d,introcob,,,
96024,g,introcob,,,
96329,f,introcob,,,
96441,g,introcob,,,
96602,d,introcob,,,
96878,g,introcob,,,
97174,f,introcob,,,
97306,g,introcob,,,
97479,d,introcob,,,
97746,g,introcob,,,
98027,f,introcob,,,
98149,g,introcob,,,
98292,d,introcob,,,
98549,g,introcob,,,
98829,f,introcob,,,
98952,g,introcob,,,
99104,d,introcob,,,
99379,g,introcob,,,
99684,f,introcob,,,
99819,g,introcob,,,
99980,d,introcob,,,
100243,g,introcob,,,
