1268,a,intro reset,intro
3819,s,intro up,
4570,d,intro up,
6398,d,intro same,
7063,f,intro up,
8155,g,intro up,
9852,g,intro same,
10631,h,intro up,
11801,d,intro down,wait 3200 intro off
15530,a,intro reset,intro
17187,a,intro same,
18031,s,intro up,
18921,d,intro up,
20696,d,intro same,
21553,f,intro up,
22447,g,intro up,
24366,g,intro same,
25232,h,intro up,
26175,f,intro down,wait 3200 intro off
29685,a,intro reset,intro
31462,a,intro same,
32295,s,intro up,
33272,d,intro up,
35084,d,intro same,
35954,f,intro up,
36783,g,intro up,
38593,g,intro same,
39499,h,intro up,
40419,d,intro down,
44034,introend,intro off,
44931,pour,verse,
45792,out,verse,
46661,your,verse,
47545,fer,verse,
48894, -vent,verse,
49351,praise,verse,
50270,there’s,verse,
50691,a,verse,
51161,song,verse,
52489,to ,verse,
52980,raise,verse,
53850,like,verse,
54306,a,verse,
54743,ban,verse,
55621, -ner,verse,
56471,high,verse,
59154,lift,verse,
60048,up,verse,
60930,your,verse,
61835,great,verse,
63161, -ful,verse,
63679,heart,verse,
64559,to ,verse,
65020,the ,verse,
65476,morning,verse,
66794, -ing,verse,
67245,star,verse,
68172,hes,verse,
68596,alive,verse,
69083, -live,verse,
70019,and,verse,
70872,here,verse,
72194,with,verse,
72486,us,verse,wait 2000 verse off
76206,shout,shout on,wait 600 shout off
77494,for,chorusm 4,
77862,joy,chorusm up,
78956,for,chorusm 3,
79375,the ,chorusm 1,
79809,son,chorusm 4,
80676,of,chorusm 3,
81556,God,chorusm same,
82512,is,chorusm 2,
82948,the ,chorusm 3,
83418,save-,chorusm 4,
84322, -ing,chorusm 3,
85150,one,chorusm same,
86125,he’s,chorusm 2,
86534,the ,chorusm 3,
86989,sav-,chorusm 4,
87875, -ing,chorusm 6,
88719,one,chorusm 5,wait 1500 chorusm off
90537,shout,shout on,wait 600 shout off
91848,for,chorusm 4,
92149,joy,chorusm up,
92681, -oy,chorusm up,
93287,see,chorusm 3,
93684,what,chorusm 1,
94103,love,chorusm 4,
94965,has,chorusm 3,
95910,done,chorusm same,
96849,he,chorusm 2,
97262,has,chorusm 3,
97721,come,chorusm 4,
98551,for,chorusm 3,
99460,us,chorusm same,
100415,he’s,chorusm 2,
100805,the ,chorusm 3,
101292,sav-,chorusm 4,
102289, -ing,chorusm 6,
103498,one,chorusm 5,wait 1500 chorusm off
109422,h,verse reset,verse
110293,g,verse,
111146,j,verse,
112061,h,verse,
113440,g,verse,
113877,g,verse,
114728,f,verse,
115202,g,verse,
115633,h,verse,
116892,g,verse,
117420,g,verse,
118336,f,verse,
118770,g,verse,
119231,h,verse,
120093,g,verse,
120956,f,verse,
123687,g,verse,
124543,f,verse,
125454,h,verse,
126341,g,verse,
127669,f,verse,
128157,f,verse,
129073,d,verse,
129483,f,verse,
129922,g,verse,
131291,f,verse,
131748,f,verse,
132629,d,verse,
133089,f,verse,
133579,g,verse,
134439,f,verse,
135304,d,verse,
136669,s,verse,
137001,s,verse,wait 2000 verse off
140720,shout,shout on,wait 600 shout off
141991,for,chorusm 4,
142327,joy,chorusm up,
143496,for,chorusm 3,
143852,the ,chorusm 1,
144286,son,chorusm 4,
145120,of,chorusm 3,
145992,God,chorusm same,
146979,is,chorusm 2,
147383,the ,chorusm 3,
147870,save-,chorusm 4,
148733, -ing,chorusm 3,
149606,one,chorusm same,
150494,he’s,chorusm 2,
150998,the ,chorusm 3,
151477,sav-,chorusm 4,
152287, -ing,chorusm 6,
153213,one,chorusm 5,wait 1500 chorusm off
155031,shout,shout on,wait 600 shout off
156323,for,chorusm 4,
156614,joy,chorusm up,
157113, -oy,chorusm up,
157802,see,chorusm 3,
158168,what,chorusm 1,
158582,love,chorusm 4,
159448,has,chorusm 3,
160366,done,chorusm same,
161294,he,chorusm 2,
161741,has,chorusm 3,
162178,come,chorusm 4,
163071,for,chorusm 3,
163945,us,chorusm same,
164889,he’s,chorusm 2,
165323,the ,chorusm 3,
165762,sav-,chorusm 4,
166647, -ing,chorusm 6,
167561,one,chorusm 5,wait 1500 chorusm off
169452,a,bridgebeat 1,
171216,a,bridgebeat same,
172072,s,bridgebeat up,
172920,d,bridgebeat up,
174762,d,bridgebeat same,
175615,f,bridgebeat up,
176471,g,bridgebeat up,
178317,g,bridgebeat same,
179190,k,bridgebeat up,
180107,f,bridgebeat 4,
183720,a,bridgebeat 1,
185519,a,bridgebeat same,
186351,s,bridgebeat up,
187253,d,bridgebeat up,
189160,d,bridgebeat same,
189968,f,bridgebeat up,
